Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
Spice,Hans Zimmer,Dune: Part Two (Original Motion Picture Soundtrack),2024-02-23,37222,https://open.spotify.com/track/5xxSfFbHgKxwDoisd1nb3n
Ripples in the Sand,Hans Zimmer,Paul's Dream (Dune: Music from the Soundtrack),2021-07-23,314786,https://open.spotify.com/track/6YuwwEkKJAbFm4QlBT4Xas
Goodbye My Son,Hans Zimmer,Man of Steel (Original Motion Picture Soundtrack),2013-06-11,121536,https://open.spotify.com/track/0RZxGQYgqUxiQCvNt3kQKw
"Roll Tide - From ""Crimson Tide"" Soundtrack","John Bacchus Dykes, Hans Zimmer",Crimson Tide,1995-01-01,453906,https://open.spotify.com/track/3H6FW6ciyMCbGoVoe6hefW
160 BPM,"Hans Zimmer, Nick Glennie-Smith",Angels & Demons (Original Motion Picture Soundtrack),2009-05-08,401960,https://open.spotify.com/track/2ZV4SBXaW51Xxz7UFNmcBd
Themyscira,Hans Zimmer,Wonder Woman 1984 (Original Motion Picture Soundtrack),2020-12-16,231186,https://open.spotify.com/track/4C7lKHNYzm9c8ywpGNlAc9
Cornfield Chase,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack),2014-11-18,126959,https://open.spotify.com/track/3PrLXpTfUdi9iE1PA82sS3
"Up Is Down - From ""Pirates of the Caribbean: At World's End""/Score",Hans Zimmer,Pirates of the Caribbean: At World's End,2007-01-01,162200,https://open.spotify.com/track/6N10tJfiQqm4wn6KM70aoT
A Prophecy Fulfilled,Hans Zimmer,Henri 4,2010-03-08,180533,https://open.spotify.com/track/2AyT6bDm87cYPSA5PhCVGq
A Way of Life,Hans Zimmer,The Last Samurai: Original Motion Picture Score,2003-12-02,483706,https://open.spotify.com/track/6DHYWelHYuynVVPv2m58wl
Gotham's Reckoning,Hans Zimmer,The Dark Knight Rises (Original Motion Picture Soundtrack) [Deluxe Edition],2012-07-17,247539,https://open.spotify.com/track/1HrJOyJpIxA7yrGJaVIC9e
Is She With You? - Wonder Woman Theme,"Hans Zimmer, Junkie XL",Batman v Superman: Dawn Of Justice (Original Motion Picture Soundtrack) [Deluxe],2016-03-18,346743,https://open.spotify.com/track/4BFBElI73LzkLOBru4TKVv
