Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
We Don't Trust You,"Future, Metro Boomin",WE DON'T TRUST YOU,2024-03-22,226213,https://open.spotify.com/track/1pnDvUuAEd6z8bKEsbAjk1
Like That,"Future, Metro Boomin, Kendrick Lamar",WE DON'T TRUST YOU,2024-03-22,267706,https://open.spotify.com/track/2tudvzsrR56uom6smgOcSf
Cinderella,"Future, Metro Boomin, Travis Scott",WE DON'T TRUST YOU,2024-03-22,169840,https://open.spotify.com/track/0hKtu53OlIFXVuYkZwcn3o
Everyday Hustle,"Future, Metro Boomin, Rick Ross",WE DON'T TRUST YOU,2024-03-22,226946,https://open.spotify.com/track/3Vg7nPYlOrCkcV1abKbRQ1
Where My Twin @ - Bonus,"Future, Metro Boomin",WE DON'T TRUST YOU,2024-03-22,122786,https://open.spotify.com/track/30TcFxtFyju8isK6Hjo9KY
Thank You,Clairo,Charm,2024-07-12,205069,https://open.spotify.com/track/0mMlo76aVZHpuvoR6fjBSK
Juna,Clairo,Charm,2024-07-12,195109,https://open.spotify.com/track/2mWfVxEo4xZYDaz0v7hYrN
Add Up My Love,Clairo,Charm,2024-07-12,205263,https://open.spotify.com/track/6FcDxtnGfsYHOcGkXN2OIG
Lithonia,Childish Gambino,Bando Stone and The New World,2024-07-19,178960,https://open.spotify.com/track/3uC4r2daXertBxxc8BpbbN
don't rely on other men,JPEGMAFIA,I LAY DOWN MY LIFE FOR YOU,2024-08-01,171906,https://open.spotify.com/track/45e7LGvKvMZVY4zRLTSSmY
either on or off the drugs,JPEGMAFIA,I LAY DOWN MY LIFE FOR YOU,2024-08-01,140593,https://open.spotify.com/track/3EWaU5exMayFzQMkIfTX7w
SET IT (with Maxo Kream),"Denzel Curry, Maxo Kream",King Of The Mischievous South Vol. 2,2024-07-19,160200,https://open.spotify.com/track/0DA0XciaII4g0HpSdI4KYH
HOT ONE (with TiaCorine & A$AP Ferg),"Denzel Curry, TiaCorine, A$AP Ferg",King Of The Mischievous South Vol. 2,2024-07-19,165280,https://open.spotify.com/track/2TmS5wJTfWrpFgakSSTdCi
