Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
Espresso,Sabrina Carpenter,Espresso,2024-04-12,175459,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,2024-08-16,251667,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,210373,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024-03-08,228639,https://open.spotify.com/track/46kspZSY3aKmwQe7O77fCC
Beautiful Things,Benson Boone,Beautiful Things,2024-01-18,180304,https://open.spotify.com/track/6tNQ70jh4OwmPGpYy6R2o9
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",2024-04-05,218423,https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu
Please Please Please,Sabrina Carpenter,Please Please Please,2024-06-06,186365,https://open.spotify.com/track/5N3hjp1WNayUPZrA8kJmJP
Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04,274192,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",UTOPIA,2023-07-28,191700,https://open.spotify.com/track/42VsgItocQwOQC3XWZ8JNA
End of Beginning,Djo,DECIDE,2022-09-16,159245,https://open.spotify.com/track/3qhlB30KknSejmIvZZLjOD
APT.,"ROSÉ, Bruno Mars",APT.,2024-10-18,169917,https://open.spotify.com/track/5vNRhkKd0yEAg8suGBpjeY
"yes, and?",Ariana Grande,"yes, and?",2024-01-12,214994,https://open.spotify.com/track/7gaA3wERFkFkgivjwbSvkG
Taste,Sabrina Carpenter,Short n' Sweet,2024-08-23,157279,https://open.spotify.com/track/1d7Ptw3qYcfpdLNL5REhtJ
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",THE TORTURED POETS DEPARTMENT,2024-04-18,228965,https://open.spotify.com/track/2OzhQlSqBEmt7hmkYxfT6m
Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),2023-09-15,210688,https://open.spotify.com/track/17phhZDn6oGtzMe56NuWvj
Stick Season,Noah Kahan,Stick Season,2022-10-14,182346,https://open.spotify.com/track/0mflMxspEfB0VbI1kyLiAv
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",I Had Some Help,2024-05-10,178205,https://open.spotify.com/track/7221xIgOnuakPdLqT0F3nP
Too Sweet,Hozier,Unheard,2024-03-22,251424,https://open.spotify.com/track/3HMY0r2BAdpasXMY8rseR0
MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,2024-04-26,155151,https://open.spotify.com/track/7fzHQizxTqy8wTXwlrgPQQ
LUNCH,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,179586,https://open.spotify.com/track/629DixmZGHc7ILtEntuiWE
i like the way you kiss me,Artemas,i like the way you kiss me,2024-03-19,142514,https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf
Gata Only,"FloyyMenor, Cris Mj",Gata Only,2024-02-02,222000,https://open.spotify.com/track/6XjDF6nds4DE2BBbagZol6
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,244684,https://open.spotify.com/track/7CyPwkp0oE8Ro9Dd5CUDjW
Guess featuring billie eilish,"Charli xcx, Billie Eilish",Guess featuring billie eilish,2024-08-01,143330,https://open.spotify.com/track/3WOhcATHxK2SLNeP5W3v1v
HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,184841,https://open.spotify.com/track/4xdBrk0nFZaP54vvZj0yx7
That’s So True,Gracie Abrams,The Secret of Us (Deluxe),2024-10-18,166300,https://open.spotify.com/track/7ne4VBA60CxGM75vw0EYad
I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,218004,https://open.spotify.com/track/4q5YezDOIPcoLr8R81x9qy
luther (with sza),"Kendrick Lamar, SZA",GNX,2024-11-21,177598,https://open.spotify.com/track/2CGNAOSuO1MEFCbBRgUzjd
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",Timeless,2024-09-27,256000,https://open.spotify.com/track/1Es7AUAhQvapIcoh3qMKDL
St. Chroma (feat. Daniel Caesar),"Tyler, The Creator, Daniel Caesar",CHROMAKOPIA,2024-10-28,197019,https://open.spotify.com/track/1QoyuMHNBe7lg3YW4Qtll4
Standing Next to You,Jung Kook,GOLDEN,2023-11-03,206019,https://open.spotify.com/track/2KslE17cAJNHTsI2MI0jb2
Who,Jimin,MUSE,2024-07-19,170887,https://open.spotify.com/track/7tI8dRuH2Yc6RuoTjxo4dU
Saturn,SZA,Saturn,2024-02-22,186191,https://open.spotify.com/track/1bjeWoagtHmUKputLVyDxQ
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,261466,https://open.spotify.com/track/3QaPy1KgI7nu9FJEQUgn6h
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),2024-04-12,171291,https://open.spotify.com/track/2FQrifJ1N335Ljm3TjTVVf
TEXAS HOLD 'EM,Beyoncé,TEXAS HOLD 'EM,2024-02-10,233456,https://open.spotify.com/track/7AYmToZ5y67fBjq4RLFbuq
Praise Jah In The Moonlight,YG Marley,Praise Jah In The Moonlight,2023-12-27,263040,https://open.spotify.com/track/3h5TiWTqGxjSjFrbruPFH9
La Diabla,Xavi,La Diabla,2023-11-30,172264,https://open.spotify.com/track/0R6NfOiLzLj4O5VbYSJAjf
BELLAKEO,"Peso Pluma, Anitta",BELLAKEO,2023-12-07,197333,https://open.spotify.com/track/05WVKTdZhlIMX4qqMLuo0f
360,Charli xcx,BRAT,2024-06-07,133805,https://open.spotify.com/track/4w2GLmK2wnioVnb5CPQeex
CARNIVAL,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti",VULTURES 1,2024-02-09,264324,https://open.spotify.com/track/3w0w2T288dec0mgeZZqoNN
Like That,"Future, Metro Boomin, Kendrick Lamar",WE DON'T TRUST YOU,2024-03-22,267706,https://open.spotify.com/track/2tudvzsrR56uom6smgOcSf
redrum,21 Savage,american dream,2024-01-12,270697,https://open.spotify.com/track/52eIcoLUM25zbQupAZYoFh
São Paulo (feat. Anitta),"The Weeknd, Anitta",São Paulo,2024-10-31,301623,https://open.spotify.com/track/0xGQTpN4ESETtl1Sp6rzd2
obsessed,Olivia Rodrigo,GUTS (spilled),2024-03-22,170541,https://open.spotify.com/track/6tNgRQ0K2NYZ0Rb9l9DzL8
the boy is mine,Ariana Grande,eternal sunshine,2024-03-08,173639,https://open.spotify.com/track/0Lmbke3KNVFXtoH2mMSHCw
Bed Chem,Sabrina Carpenter,Short n' Sweet,2024-08-23,171869,https://open.spotify.com/track/1UHS8Rf6h5Ar3CDWRd3wjF
The Emptiness Machine,Linkin Park,The Emptiness Machine,2024-09-05,190427,https://open.spotify.com/track/2PnlsTsOTLE5jnBnNe2K0A
Houdini,Eminem,Houdini,2024-05-31,227239,https://open.spotify.com/track/2HYFX63wP3otVIvopRS99Z
Water,Tyla,Water,2023-07-28,200255,https://open.spotify.com/track/5aIVCx5tnk0ntmdiinnYvw
Evergreen,Richy Mitch & The Coal Miners,RMCM,2017-05-17,87000,https://open.spotify.com/track/6me7F0aaZjwDo6RJ5MrfBD
CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,303440,https://open.spotify.com/track/7BRD7x5pt8Lqa1eGYC4dzj
intro (end of the world),Ariana Grande,eternal sunshine,2024-03-08,92400,https://open.spotify.com/track/2o1pb13quMReXZqE7jWsgq
"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,2024-06-21,157146,https://open.spotify.com/track/51rfRCiUSvxXlCSCfIztBy
Slow It Down,Benson Boone,Slow It Down,2024-03-21,161831,https://open.spotify.com/track/6WO7IDGLakjO38lsvI2gHB
Rich Baby Daddy (feat. Sexyy Red & SZA),"Drake, Sexyy Red, SZA",For All The Dogs,2023-10-06,319191,https://open.spotify.com/track/1yeB8MUNeLo9Ek1UEpsyz6
Diet Pepsi,Addison Rae,Diet Pepsi,2024-08-09,169697,https://open.spotify.com/track/6MzofobZt2dm0Kf1hTThFz
You’re Losing Me (From The Vault),Taylor Swift,You're Losing Me (From The Vault),2023-11-29,277831,https://open.spotify.com/track/3CWq0pAKKTWb0K4yiglDc4
From The Start,Laufey,Bewitched,2023-09-08,169573,https://open.spotify.com/track/43iIQbw5hx986dUEZbr3eN
Igual Que Un Ángel (with Peso Pluma),"Kali Uchis, Peso Pluma",ORQUÍDEAS,2024-01-12,260370,https://open.spotify.com/track/6XaJfhwof7qIgbbXO5tIQI
LUNA,"Feid, ATL Jacob",FERXXOCALIPSIS,2023-12-01,196800,https://open.spotify.com/track/7bywjHOc0wSjGGbj04XbVi
Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido,2024-06-21,195824,https://open.spotify.com/track/6WatFBLVB0x077xWeoVc2k
PERRO NEGRO,"Bad Bunny, Feid",nadie sabe lo que va a pasar mañana,2023-10-13,162767,https://open.spotify.com/track/7iQXYTyuG13aoeHxGG28Nh
Alibi (with Pabllo Vittar & Yseult),"Sevdaliza, Pabllo Vittar, Yseult",Alibi (with Pabllo Vittar & Yseult),2024-06-28,161655,https://open.spotify.com/track/5496lks6V3fh1mZAB6IAap
Training Season,Dua Lipa,Training Season,2024-02-15,209487,https://open.spotify.com/track/6Qb7YsAqH4wWFUMbGsCpap
Disease,Lady Gaga,Disease,2024-10-25,229997,https://open.spotify.com/track/19KlZwqlT3fguP2BeHF1Q1
Sympathy is a knife featuring ariana grande,"Charli xcx, Ariana Grande",Brat and it’s completely different but also still brat,2024-10-11,154126,https://open.spotify.com/track/3nQ24dxqvxZEVwlHTeuLz0
greedy,Tate McRae,greedy,2023-09-15,131872,https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t
FTCU,Nicki Minaj,Pink Friday 2,2023-12-08,172137,https://open.spotify.com/track/1a73gcEg6h6Re6hHXoVltJ
Whatever She Wants,Bryson Tiller,Whatever She Wants,2024-02-13,161342,https://open.spotify.com/track/57wp7VFnV8X0pSVnYArGeJ
HISS,Megan Thee Stallion,HISS,2024-01-26,192818,https://open.spotify.com/track/79AHPJd8upvNxyK2qQcY8J
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",GOLDEN,2023-11-03,183550,https://open.spotify.com/track/2HRgqmZQC0MC7GeNuDIXHN
I Don't Wanna Wait,"David Guetta, OneRepublic",I Don't Wanna Wait,2024-04-05,149667,https://open.spotify.com/track/331l3xABO0HMr1Kkyh2LZq
Defying Gravity,"Cynthia Erivo, Ariana Grande",Wicked: The Soundtrack,2024-11-22,459766,https://open.spotify.com/track/5QMrH5nszZZR3nefIj6Mar
Tough,"Quavo, Lana Del Rey",Tough,2024-07-03,188828,https://open.spotify.com/track/22DH8NChecsgPxDjA4pqer
squabble up,Kendrick Lamar,GNX,2024-11-22,157992,https://open.spotify.com/track/0nj9Bq5sHDiTxSHunhgkFb
BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",BAND4BAND (feat. Lil Baby),2024-05-23,140733,https://open.spotify.com/track/7iabz12vAuVQYyekFIWJxD
Push Ups,Drake,Push Ups,2024-04-19,232774,https://open.spotify.com/track/3eh51r6rFWAlGQRlHx9QnQ
Never Lose Me,Flo Milli,Never Lose Me,2023-11-30,125901,https://open.spotify.com/track/6uTPdRrEDeH8Fyg5L5qmeU
Apple,Charli xcx,BRAT,2024-06-07,151739,https://open.spotify.com/track/19RybK6XDbAVpcdxSbZL1o
It's ok I'm ok,Tate McRae,It's ok I'm ok,2024-09-12,156521,https://open.spotify.com/track/24XihnoVPWXlKJ4BgXqjVM
Down Bad,Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,261228,https://open.spotify.com/track/2F3N9tdombb64aW6VtZOdo
NIGHTS LIKE THIS,The Kid LAROI,THE FIRST TIME,2023-11-10,86983,https://open.spotify.com/track/1XBYiRV30ykHw5f4wm6qEn
act ii: date @ 8 (feat. Drake) - remix,"4batz, Drake",act ii: date @ 8 (feat. Drake) [remix],2024-03-08,231338,https://open.spotify.com/track/3QS9ZCtoSCJhmaJ7QNXSAS
Santa,"Rvssian, Rauw Alejandro, Ayra Starr",Santa,2024-04-04,193038,https://open.spotify.com/track/5bi0gh89wRuH2OgjdAKFsb
Tu Boda,"Oscar Maydon, Fuerza Regida",Tu Boda,2024-09-26,225880,https://open.spotify.com/track/1cOboCuWYI2osTOfolMRS6
Snooze,SZA,SOS,2022-12-09,201800,https://open.spotify.com/track/4iZ4pt7kvcaH6Yo8UoZ4s2
Stargazing,Myles Smith,Stargazing,2024-05-10,172533,https://open.spotify.com/track/3Vr3zh0r7ALn8VLqCiRR10
Moonlit Floor (Kiss Me),LISA,Moonlit Floor (Kiss Me),2024-10-03,155757,https://open.spotify.com/track/3yDRcs0Y4pPzkvMbUfeF9H
Overcompensate (edit),Twenty One Pilots,Overcompensate,2024-02-29,190733,https://open.spotify.com/track/7kcApwUclbIw9B6MuVmqPc
Austin (Boots Stop Workin'),Dasha,What Happens Now?,2024-02-16,171782,https://open.spotify.com/track/2uqYupMHANxnwgeiXTZXzd
Sailor Song,Gigi Perez,Sailor Song,2024-07-26,211978,https://open.spotify.com/track/2262bWmqomIaJXwCRHr13j
Belong Together,Mark Ambor,Belong Together,2024-02-16,148317,https://open.spotify.com/track/5uQ7de4EWjb3rkcFxyEOpu
Magnetic,ILLIT,SUPER REAL ME,2024-03-25,160688,https://open.spotify.com/track/1aKvZDoLGkNMxoRYgkckZG
Rockstar,LISA,Rockstar,2024-06-27,138213,https://open.spotify.com/track/6vvPecFTmWxDfEJ6cYT1wa
Did It First (with Central Cee),"Ice Spice, Central Cee",Did It First (with Central Cee),2024-07-11,118002,https://open.spotify.com/track/57lsYy0OZLNb5OQ7fEa3Hs
DEVIL IS A LIE,Tommy Richman,DEVIL IS A LIE,2024-06-14,130944,https://open.spotify.com/track/6jlG8gBPNAgBgoivw2Ig09
La Víctima,Xavi,La Víctima,2023-08-17,156345,https://open.spotify.com/track/5XVdHRf4CAJ2Jm0uMIy5qY
II MOST WANTED,"Beyoncé, Miley Cyrus",COWBOY CARTER,2024-03-29,208521,https://open.spotify.com/track/1UP7PXne1lIYZB5G5aiRGL
